,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
40,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,40,0.4265403747558594,Done,143.39321262298452,0.016831421276927407,0.026840266459369932,0.5059328079223633
41,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,41,0.429152250289917,Done,142.4229845323709,0.03430973864151334,0.04173922654371861,0.5095713138580322
42,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,42,0.4382514953613281,Done,145.0579059331701,0.03738385087301547,0.04157531972881548,0.5193445682525635
43,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,43,0.4299459457397461,Done,150.9356465792247,0.07116191012430231,0.10188466670543046,0.5020437240600586
44,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,44,0.4347817897796631,Done,153.17795629997516,0.037261014456665874,0.04079207168804977,0.5124714374542236
45,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,45,0.4308497905731201,Done,150.71154648574907,0.04951651742805999,0.07060141670394847,0.5082199573516846
46,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,46,0.4287593364715576,Done,152.19643771214444,0.01676828747852909,0.016787351823734482,0.5090537071228027
47,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,47,0.4315330982208252,Done,145.76802101246915,0.01611970919207685,0.025583433575763308,0.5113260746002197
48,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,48,0.43950319290161133,Done,159.23108106101967,0.03559797372142852,0.0504023663521594,0.5098273754119873
49,"KB (energy, lmb0.0001)",IHDP,energy,0.0001,49,0.4274728298187256,Done,144.34904954666854,0.09335174553435628,0.0942352721543539,0.5052587985992432
