,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
30,"KB (linear, lmb0.0001)",News,linear,0.0001,30,28.15596914291382,Done,2541.5948350051535,0.143736446445658,0.1943459011393324,33.93722200393677
31,"KB (linear, lmb0.0001)",News,linear,0.0001,31,29.475945472717285,Done,2303.999192762076,0.10561263568728063,0.122962833290075,36.309765338897705
32,"KB (linear, lmb0.0001)",News,linear,0.0001,32,30.32490587234497,Done,2188.484182433942,0.054319832414087194,0.07490566918384098,36.15066885948181
33,"KB (linear, lmb0.0001)",News,linear,0.0001,33,30.333843231201172,Done,2442.440363820503,0.14706268292916602,0.17691649731171868,36.045493841171265
34,"KB (linear, lmb0.0001)",News,linear,0.0001,34,30.54904794692993,Done,2673.0442707105162,0.18944928398134733,0.25409281185946114,38.20149898529053
35,"KB (linear, lmb0.0001)",News,linear,0.0001,35,30.355562686920166,Done,2479.228483548582,0.05204892801622873,0.05278438302851133,36.16921067237854
36,"KB (linear, lmb0.0001)",News,linear,0.0001,36,29.50860857963562,Done,2624.686854190929,0.10335703992188516,0.1318291854443334,37.50447201728821
37,"KB (linear, lmb0.0001)",News,linear,0.0001,37,28.866692304611206,Done,2353.142109049695,0.09769743285794498,0.12613083947779344,35.083725452423096
38,"KB (linear, lmb0.0001)",News,linear,0.0001,38,32.059438705444336,Done,2385.4320072638375,0.09682161631307903,0.12743704005181405,37.87346291542053
39,"KB (linear, lmb0.0001)",News,linear,0.0001,39,28.92657494544983,Done,2472.4219150802496,0.10659120409510406,0.12288099065244346,35.17936420440674
40,"KB (linear, lmb0.0001)",News,linear,0.0001,40,30.03693461418152,Done,2676.94635902079,0.12924838567813768,0.16624710342855062,39.1736421585083
41,"KB (linear, lmb0.0001)",News,linear,0.0001,41,27.471256732940674,Done,2304.4088932391655,0.1441642832910136,0.19648398728715108,32.06630539894104
42,"KB (linear, lmb0.0001)",News,linear,0.0001,42,27.36294937133789,Done,2407.115908490637,0.06764280756065934,0.08775147916741437,32.189058780670166
43,"KB (linear, lmb0.0001)",News,linear,0.0001,43,29.463810205459595,Done,2419.100667378188,0.09732744630276974,0.11588930876559941,33.922255516052246
44,"KB (linear, lmb0.0001)",News,linear,0.0001,44,28.159661054611206,Done,2631.8681283664655,0.17137464146830156,0.19899344047608333,32.81134510040283
45,"KB (linear, lmb0.0001)",News,linear,0.0001,45,29.772913694381714,Done,2541.426132637696,0.09322982578653087,0.11644078919613818,34.44091176986694
46,"KB (linear, lmb0.0001)",News,linear,0.0001,46,28.641736268997192,Done,2721.3165123300023,0.24300593696882328,0.291178435296276,33.16183161735535
47,"KB (linear, lmb0.0001)",News,linear,0.0001,47,30.13562822341919,Done,2285.130325806811,0.19230952368113907,0.26263506186556673,34.77599763870239
48,"KB (linear, lmb0.0001)",News,linear,0.0001,48,29.43203091621399,Done,2342.9321401228985,0.06349626411225767,0.06547044047668182,34.446982860565186
49,"KB (linear, lmb0.0001)",News,linear,0.0001,49,25.507285356521606,Done,2173.4068130343876,0.21213614493079122,0.32176132176184274,28.70894503593445
