,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
15,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",15,1.367035150527954,Done,547.8635378688396,1.867512080771398
16,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",16,1.3979120254516602,Done,535.9921035019719,2.5253637614928977
17,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",17,1.292316198348999,Done,525.5849233865646,0.1862990477593911
18,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",18,1.538128137588501,Done,534.102246826059,6.539113030924405
19,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",19,1.404184103012085,Done,539.8189864526507,10.245053691842003
20,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",20,1.3780434131622314,Done,548.8138960125209,8.396503392219522
21,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",21,1.2247381210327148,Done,548.6413151006914,3.3024143449181764
22,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",22,1.2518830299377441,Done,558.3620288621934,1.5734810567214623
23,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",23,1.084186315536499,Done,546.416117633197,0.134372137670141
24,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",24,1.3012440204620361,Done,537.934772269711,2.5748105124041274
25,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",25,1.410963535308838,Done,532.8373012180581,16.6645355123687
26,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",26,1.1499533653259277,Done,512.8123133108263,9.92596944661512
27,"PS+KB (energy, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'energy', 'lmb': 0.0001}",27,1.3540191650390625,Done,502.09680421729547,15.326248798399448
