,method_key,dataset_key,kernel,lmb,seed,time1,status,checksum,bias
19,"KB (linear, lmb0.0001)",TBI,linear,0.0001,19,1.4150593280792236,Done,539.8189864526507,1.5642974650942278
20,"KB (linear, lmb0.0001)",TBI,linear,0.0001,20,1.5496842861175537,Done,548.8138960125209,24.14115983825039
21,"KB (linear, lmb0.0001)",TBI,linear,0.0001,21,1.1919581890106201,Done,548.6413151006914,6.175002096754596
22,"KB (linear, lmb0.0001)",TBI,linear,0.0001,22,1.5337846279144287,Done,558.3620288621934,4.28255583124065
23,"KB (linear, lmb0.0001)",TBI,linear,0.0001,23,1.8845467567443848,Done,546.416117633197,23.933388464370474
24,"KB (linear, lmb0.0001)",TBI,linear,0.0001,24,1.3867366313934326,Done,537.934772269711,2.74403599275805
25,"KB (linear, lmb0.0001)",TBI,linear,0.0001,25,1.585756540298462,Done,532.8373012180581,54.16913897489254
26,"KB (linear, lmb0.0001)",TBI,linear,0.0001,26,1.7417945861816406,Done,512.8123133108263,59.63420613757092
27,"KB (linear, lmb0.0001)",TBI,linear,0.0001,27,1.550023078918457,Done,502.09680421729547,14.718613395036414
28,"KB (linear, lmb0.0001)",TBI,linear,0.0001,28,1.7676935195922852,Done,508.8049831814471,27.655137116285477
29,"KB (linear, lmb0.0001)",TBI,linear,0.0001,29,1.5822186470031738,Done,540.1761805935183,6.5958072389774
30,"KB (linear, lmb0.0001)",TBI,linear,0.0001,30,1.7058188915252686,Done,567.0567799834796,16.18260020519817
31,"KB (linear, lmb0.0001)",TBI,linear,0.0001,31,1.623560905456543,Done,551.4673717686484,29.255522309332328
32,"KB (linear, lmb0.0001)",TBI,linear,0.0001,32,1.113204002380371,Done,533.3225256432846,11.363272422780447
33,"KB (linear, lmb0.0001)",TBI,linear,0.0001,33,1.793712854385376,Done,520.0613232381139,21.457580101643813
34,"KB (linear, lmb0.0001)",TBI,linear,0.0001,34,1.529292345046997,Done,532.755189714652,3.326818435216545
35,"KB (linear, lmb0.0001)",TBI,linear,0.0001,35,1.2928671836853027,Done,510.04429150648883,43.2342925315255
36,"KB (linear, lmb0.0001)",TBI,linear,0.0001,36,1.3533751964569092,Done,565.4146409151415,15.203834426564498
37,"KB (linear, lmb0.0001)",TBI,linear,0.0001,37,1.7181096076965332,Done,576.103197843988,44.738817081186134
38,"KB (linear, lmb0.0001)",TBI,linear,0.0001,38,1.4857709407806396,Done,514.2598685480507,8.721864418971045
39,"KB (linear, lmb0.0001)",TBI,linear,0.0001,39,1.2207412719726562,Done,546.6924395471768,36.24136536265874
40,"KB (linear, lmb0.0001)",TBI,linear,0.0001,40,1.6253137588500977,Done,526.5948502709085,24.07988755910175
41,"KB (linear, lmb0.0001)",TBI,linear,0.0001,41,1.5786237716674805,Done,523.6622210637858,43.64281444455722
42,"KB (linear, lmb0.0001)",TBI,linear,0.0001,42,1.4426119327545166,Done,534.2164557072026,27.90702459094058
43,"KB (linear, lmb0.0001)",TBI,linear,0.0001,43,1.5366418361663818,Done,541.0005087604198,7.811072048844771
44,"KB (linear, lmb0.0001)",TBI,linear,0.0001,44,1.1872172355651855,Done,542.484559803416,7.168662501083226
45,"KB (linear, lmb0.0001)",TBI,linear,0.0001,45,1.590219497680664,Done,564.3581568592143,5.693832732646612
46,"KB (linear, lmb0.0001)",TBI,linear,0.0001,46,1.7974159717559814,Done,562.2773478552928,5.6541419880010935
47,"KB (linear, lmb0.0001)",TBI,linear,0.0001,47,1.7830848693847656,Done,538.5627960013469,30.582964202652963
48,"KB (linear, lmb0.0001)",TBI,linear,0.0001,48,1.1988976001739502,Done,567.3499539934564,56.291044101459434
49,"KB (linear, lmb0.0001)",TBI,linear,0.0001,49,1.664719581604004,Done,541.1364569130644,9.810517198429515
50,"KB (linear, lmb0.0001)",TBI,linear,0.0001,50,1.9583065509796143,Done,531.3946126894904,1.5795283327696623
51,"KB (linear, lmb0.0001)",TBI,linear,0.0001,51,1.4415662288665771,Done,520.4651060643486,42.47620796948206
