,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
17,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",17,1.847687005996704,Done,525.5849233865646,47.43231749358823
18,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",18,1.8250787258148193,Done,534.102246826059,82.70136103793045
19,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",19,1.7043437957763672,Done,539.8189864526507,49.90745950462172
20,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",20,2.0755109786987305,Done,548.8138960125209,38.447304136038966
21,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",21,1.8658738136291504,Done,548.6413151006914,73.19752264771395
22,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",22,2.3031022548675537,Done,558.3620288621934,100.67633003339881
23,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",23,1.630431890487671,Done,546.416117633197,87.58907215765424
24,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",24,1.9685425758361816,Done,537.934772269711,46.8171259623614
25,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",25,1.5665028095245361,Done,532.8373012180581,91.95559547364003
26,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",26,1.9391429424285889,Done,512.8123133108263,77.6383681776507
27,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",27,1.7789216041564941,Done,502.09680421729547,40.99822334120161
28,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",28,2.0441596508026123,Done,508.8049831814471,55.85075504617369
29,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",29,1.668553352355957,Done,540.1761805935183,82.02006493116365
30,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",30,1.904360055923462,Done,567.0567799834796,85.33394089896858
31,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",31,2.3844921588897705,Done,551.4673717686484,93.26682161500696
32,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",32,1.4425318241119385,Done,533.3225256432846,89.21234511915713
33,"PCA+KB (linear, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'linear', 'lmb': 0.0001}",33,1.507019281387329,Done,520.0613232381139,32.915073233901026
