,method_key,dataset_key,algorithm,model,seed,time1,status,checksum,bias
14,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,14,0.35416722297668457,Done,536.7578888220236,4.906054689547894
15,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,15,0.361675500869751,Done,547.8635378688396,1.157812292783582
16,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,16,0.351452112197876,Done,535.9921035019719,4.105902646142653
17,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,17,0.34586429595947266,Done,525.5849233865646,1.4388712793901774
18,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,18,0.2991013526916504,Done,534.102246826059,2.2616220368282285
19,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,19,0.32047176361083984,Done,539.8189864526507,2.935587428934255
20,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,20,0.3159782886505127,Done,548.8138960125209,1.5819787391253541
21,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,21,0.3435518741607666,Done,548.6413151006914,1.8507768649875302
22,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,22,0.35636115074157715,Done,558.3620288621934,0.8536231568335282
23,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,23,0.3404088020324707,Done,546.416117633197,2.866489710668752
24,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,24,0.2948923110961914,Done,537.934772269711,5.5016193359330146
25,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,25,0.30685949325561523,Done,532.8373012180581,4.011269600333648
26,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,26,0.3533024787902832,Done,512.8123133108263,3.6974324717045377
27,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,27,0.34920620918273926,Done,502.09680421729547,2.456809637530661
28,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,28,0.3574845790863037,Done,508.8049831814471,1.5465909764226993
29,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,29,0.32758498191833496,Done,540.1761805935183,1.6732886557100244
30,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,30,0.3547217845916748,Done,567.0567799834796,0.9428152514319166
31,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,31,0.3361392021179199,Done,551.4673717686484,0.24794157943195927
32,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,32,0.3150167465209961,Done,533.3225256432846,1.4871323125893028
33,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,33,0.3159642219543457,Done,520.0613232381139,2.3126861417313194
34,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,34,0.35541486740112305,Done,532.755189714652,1.6130529051805667
35,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,35,0.3550453186035156,Done,510.04429150648883,5.376576919265858
36,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,36,0.35536813735961914,Done,565.4146409151415,0.3938336080788787
37,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,37,0.35356616973876953,Done,576.103197843988,1.1284628475286596
38,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,38,0.3591032028198242,Done,514.2598685480507,2.6054626313582787
39,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,39,0.35870957374572754,Done,546.6924395471768,2.5661383752046234
40,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,40,0.3182334899902344,Done,526.5948502709085,2.454923998591738
41,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,41,0.35407328605651855,Done,523.6622210637858,3.1936790105342325
42,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,42,0.3559577465057373,Done,534.2164557072026,6.85325125098057
43,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,43,0.35920238494873047,Done,541.0005087604198,3.547614031739819
