,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
15,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",15,1.2007420063018799,Done,547.8635378688396,0.9771924177863482
16,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",16,1.4914581775665283,Done,535.9921035019719,6.885254722254402
17,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",17,1.5156753063201904,Done,525.5849233865646,28.867584623829806
18,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",18,1.2190639972686768,Done,534.102246826059,31.51343581738071
19,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",19,1.3177099227905273,Done,539.8189864526507,0.8511916066713852
20,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",20,1.5113279819488525,Done,548.8138960125209,1.452861326038402
21,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",21,1.4619522094726562,Done,548.6413151006914,1.0769317458154504
22,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",22,1.5376605987548828,Done,558.3620288621934,20.199848009064574
23,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",23,1.4876959323883057,Done,546.416117633197,4.338730201613615
24,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",24,1.2479047775268555,Done,537.934772269711,10.778402189387393
25,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",25,1.5872492790222168,Done,532.8373012180581,13.88780923853863
